#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
125;S. Mckissic;F;OLY;7.4;7.7;32;16.3;0;7.3;1.6;1.0;1.0;0.0;0.2;2.5;5.3;47.0;0.9;2.5;34.6;1.5;2.1;71.2;0.5;1.1;1.0;1.3;1.9;0.0
126;S. Jovic;G;VBC;7.4;0.0;27;17.0;4;4.9;1.9;2.9;0.9;0.0;0.1;2.0;3.7;53.5;0.4;1.2;30.3;0.6;1.0;60.7;0.3;1.6;1.1;1.7;1.4;0.0
127;B. Manek;F;ZAL;7.3;0.0;28;18.8;6;7.5;3.4;0.6;0.6;0.1;0.2;2.6;6.2;42.5;1.7;4.2;40.7;0.5;0.7;78.9;0.5;2.9;0.9;1.6;1.0;0.0
128;Y. Wetzell;F;BER;7.2;0.0;27;20.0;17;7.9;3.5;0.9;0.6;0.2;0.5;3.2;6.1;52.1;0.0;0.2;20.0;1.5;2.2;66.7;1.4;2.1;1.5;2.3;1.8;0.0
129;A. Abrines;F;BAR;7.0;0.0;27;17.3;3;6.9;2.0;0.5;0.5;0.3;0.0;2.3;4.7;49.2;1.6;3.6;44.8;0.7;0.8;85.7;0.6;1.4;0.7;2.1;1.7;0.0
130;R. Sorkin;C;MTA;7.0;0.0;32;15.8;7;6.8;3.1;0.5;0.3;0.6;0.3;2.7;5.2;51.8;0.4;1.0;37.5;1.0;1.3;78.6;1.4;1.8;1.0;1.9;1.2;0.0
131;B. Dunston;C;VIR;7.0;0.0;36;19.3;32;4.5;3.6;0.9;0.8;0.7;0.1;1.9;3.2;61.4;0.1;0.2;33.3;0.6;1.2;47.6;1.5;2.1;0.6;2.6;1.3;0.0
132;J. Blossomgame;F;ASM;6.9;0.0;39;19.6;15;6.6;3.3;0.3;0.5;0.3;0.1;2.7;5.6;48.6;0.6;2.2;25.9;0.5;0.8;65.6;1.1;2.2;0.3;2.1;1.2;0.0
133;J. Harper;G;VBC;6.9;0.0;22;16.5;2;8.5;0.8;2.2;0.6;0.0;0.4;2.5;6.7;36.7;0.9;3.6;25.3;2.6;3.1;85.3;0.1;0.7;1.3;2.0;2.9;0.0
134;D. Davidovac;F;CZV;6.7;0.0;31;19.3;12;5.1;3.0;0.6;0.7;0.3;0.2;1.8;4.0;46.3;0.8;2.2;38.2;0.5;0.7;73.9;0.5;2.5;0.4;1.5;1.2;0.0
135;A. Zizic;C;VIR;6.7;0.0;30;14.3;10;4.8;2.7;0.6;0.3;0.4;0.2;2.1;3.2;64.6;0.0;0.0;0.0;0.7;1.2;57.1;1.1;1.6;0.7;1.3;1.4;0.0
136;M. Ndiaye;F;ASV;6.6;0.0;22;15.8;1;3.6;3.9;1.0;0.5;0.9;0.0;1.6;3.1;50.7;0.1;0.5;18.2;0.3;0.6;53.8;1.2;2.7;0.8;1.7;0.7;0.0
137;A. Smailagic;C;PAR;6.6;0.0;31;15.9;11;5.5;2.2;0.6;0.6;0.4;0.1;2.1;3.5;59.8;0.4;0.8;46.2;1.0;1.4;72.7;1.0;1.2;0.7;2.2;1.7;0.0
138;R. Mcgruder;G;EA7;6.5;0.0;7;18.1;2;7.6;2.6;0.9;0.6;0.0;0.3;2.9;6.4;44.4;0.9;2.9;30.0;1.0;1.6;63.6;1.0;1.6;0.3;1.7;1.1;0.0
139;J. Webb Iii;F;MTA;6.4;0.0;39;15.7;2;6.2;3.2;0.5;0.5;0.3;0.3;2.1;5.1;41.9;1.0;2.9;33.0;1.0;1.3;77.6;0.9;2.3;0.4;2.1;1.3;0.0
140;X. Lopez-arostegui;F;VBC;6.4;0.0;25;16.4;6;5.1;3.2;0.9;0.4;0.0;0.2;1.9;4.4;42.7;0.5;2.1;25.0;0.8;1.0;83.3;0.9;2.4;0.9;1.4;1.7;0.0
141;J. Hernangomez;F;PAO;6.2;7.3;31;16.4;7;4.3;3.5;0.5;0.6;0.3;0.1;1.4;3.8;35.6;0.6;2.3;26.4;1.0;1.3;75.6;1.0;2.5;0.8;1.2;1.4;0.0
142;M. Hermannsson;G;BER;6.2;0.0;16;17.8;10;6.1;1.3;3.6;0.6;0.1;0.5;2.3;5.3;42.4;0.5;1.7;29.6;1.1;1.1;100.0;0.1;1.3;2.1;1.5;1.6;0.0
143;M. Spagnolo;G;BER;6.2;0.0;25;20.5;17;7.3;2.3;3.4;0.3;0.0;0.4;2.8;7.1;39.0;0.3;1.4;22.9;1.4;1.6;87.8;0.4;1.9;2.5;1.7;2.0;0.0
144;S. Tonut;G;EA7;6.2;0.0;29;17.1;7;5.8;1.8;1.2;0.6;0.0;0.2;2.2;4.2;51.2;1.0;2.1;49.2;0.4;0.6;64.7;0.3;1.5;0.6;1.4;0.9;0.0
145;A. Butkevicius;F;ZAL;6.2;0.0;22;20.9;6;5.0;3.3;0.9;0.6;0.1;0.2;1.7;3.4;50.7;0.6;1.6;38.9;0.9;1.2;70.4;0.8;2.5;1.0;2.5;1.6;0.0
146;J. Bean;F;BER;6.1;0.0;27;15.4;8;3.9;3.0;0.7;0.7;0.4;0.1;1.5;3.5;43.2;0.5;1.3;36.1;0.4;0.5;71.4;0.9;2.1;0.5;1.2;1.1;0.0
147;T. Biberovic;F;FBB;5.9;5.0;31;16.2;6;7.0;2.2;0.7;0.3;0.0;0.2;2.5;4.7;52.1;1.4;2.6;53.1;0.7;0.8;92.0;0.5;1.7;0.8;2.1;0.8;0.0
